"","x"
"1","AQP9"
"2","BCL2A1"
"3","BIRC3"
"4","BRAF"
"5","BST1"
"6","C3AR1"
"7","C5AR1"
"8","CAMP"
"9","CCL13"
"10","CCL14"
"11","CCL17"
"12","CCL18"
"13","CCL19"
"14","CCL22"
"15","CCL23"
"16","CCL4"
"17","CCL5"
"18","CCL7"
"19","CCL8"
"20","CCND2"
"21","CCR2"
"22","CCR3"
"23","CCR5"
"24","CCR6"
"25","CCR7"
"26","CD160"
"27","CD180"
"28","CD19"
"29","CD1A"
"30","CD1B"
"31","CD1C"
"32","CD1D"
"33","CD1E"
"34","CD2"
"35","CD209"
"36","CD22"
"37","CD244"
"38","CD247"
"39","CD27"
"40","CD28"
"41","CD300A"
"42","CD33"
"43","CD37"
"44","CD38"
"45","CD3E"
"46","CD4"
"47","CD40"
"48","CD40LG"
"49","CD5"
"50","CD6"
"51","CD68"
"52","CD69"
"53","CD7"
"54","CD70"
"55","CD79A"
"56","CD79B"
"57","CD80"
"58","CD86"
"59","CD8A"
"60","CD96"
"61","CEACAM3"
"62","CFP"
"63","CLEC4A"
"64","CLEC7A"
"65","CMA1"
"66","CPA3"
"67","CR2"
"68","CREB5"
"69","CSF3R"
"70","CTSG"
"71","CTSW"
"72","CXCL10"
"73","CXCL11"
"74","CXCL3"
"75","CXCL5"
"76","CXCL9"
"77","CXCR1"
"78","CXCR2"
"79","CXCR6"
"80","DPP4"
"81","DUSP2"
"82","EBI3"
"83","EFNA5"
"84","EGR2"
"85","ELANE"
"86","ETS1"
"87","FASLG"
"88","FCER1A"
"89","FCER2"
"90","FCGR3B"
"91","FCN1"
"92","FLT3LG"
"93","FOXP3"
"94","FPR1"
"95","FPR2"
"96","FPR3"
"97","FZD2"
"98","FZD3"
"99","GNG7"
"100","GPC4"
"101","GZMA"
"102","GZMB"
"103","GZMK"
"104","HCK"
"105","HDC"
"106","HHEX"
"107","HSPA6"
"108","IDO1"
"109","IFNG"
"110","IL12RB2"
"111","IL18R1"
"112","IL18RAP"
"113","IL1A"
"114","IL1B"
"115","IL1RL1"
"116","IL21"
"117","IL2RA"
"118","IL2RB"
"119","IL4R"
"120","IL7"
"121","IL7R"
"122","IRF8"
"123","ITK"
"124","KLRD1"
"125","KLRF1"
"126","KLRG1"
"127","KLRK1"
"128","LAG3"
"129","LAIR2"
"130","LAMP3"
"131","LAT"
"132","LILRA3"
"133","LILRA4"
"134","LILRB2"
"135","LTB"
"136","LY86"
"137","LY9"
"138","MARCO"
"139","MMP9"
"140","MS4A1"
"141","MS4A2"
"142","MS4A6A"
"143","MYB"
"144","NLRP3"
"145","NOD2"
"146","NR4A3"
"147","P2RY13"
"148","PDCD1"
"149","PDCD1LG2"
"150","PDK1"
"151","PNOC"
"152","PPBP"
"153","PRG2"
"154","PVRIG"
"155","RASGRP2"
"156","REN"
"157","RSAD2"
"158","S100A12"
"159","SAMSN1"
"160","SELL"
"161","SIGLEC1"
"162","SLAMF1"
"163","SMPD3"
"164","SOCS1"
"165","SPIB"
"166","SSX1"
"167","TBX21"
"168","TCF7"
"169","TCL1A"
"170","TLR2"
"171","TLR7"
"172","TLR8"
"173","TNFAIP6"
"174","TNFRSF10C"
"175","TNFRSF11A"
"176","TNFRSF13B"
"177","TNFRSF4"
"178","TPSAB1"
"179","TRAC"
"180","TRBC1"
"181","TRDC"
"182","TREM1"
"183","TREM2"
"184","TXK"
"185","WNT5B"
"186","ZAP70"
