"","x"
"1","GRB2"
"2","POLR2J"
"3","C1QBP"
"4","HSPA2"
"5","B2M"
"6","GPX4"
"7","PSMB8"
"8","TACSTD2"
"9","NDUFA12"
"10","HDAC1"
"11","PKP3"
"12","HLA.C"
"13","SDHA"
"14","DSP"
"15","SKP1"
"16","GRB7"
"17","DUSP2"
"18","EGR1"
"19","CD58"
"20","LDHA"
"21","HK1"
"22","RFC4"
"23","TNFRSF12A"
"24","OASL"
"25","DSC3"
"26","COX6B1"
"27","FOS"
"28","ISG20"
"29","CXCL1"
"30","FZD6"
"31","KRT5"
"32","ANP32B"
"33","HSPB1"
"34","UBB"
"35","BIRC5"
"36","SERPING1"
"37","HLA.DRA"
"38","CD99"
"39","FUBP1"
"40","IFI16"
"41","LAMB3"
"42","STAT1"
"43","PTTG1"
"44","RPLP0"
"45","ANGPTL4"
"46","BLVRA"
"47","KRT6C"
"48","KRT18"
"49","YTHDF2"
"50","NDUFA7"
"51","IL1RN"
"52","LAMP2"
"53","LAMC2"
"54","ADM"
"55","CD47"
"56","CBLC"
"57","PYCARD"
"58","RAC1"
"59","TNFSF10"
"60","SMARCB1"
"61","GPI"
"62","RPS27A"
"63","CMTM6"
"64","HLA.F"
"65","PML"
"66","SERPINH1"
"67","TPM4"
"68","FADD"
"69","PPP2R1A"
"70","HSP90B1"
"71","DST"
"72","SRSF2"
"73","HMGA1"
"74","PSMB10"
"75","MAD2L2"
"76","F2RL1"
"77","NFE2L2"
"78","NDUFA13"
"79","OAS1"
"80","TNFRSF1A"
"81","UQCRQ"
"82","AREG"
"83","MYC"
"84","LAMA3"
"85","MMP1"
"86","MMP3"
"87","NDUFB7"
"88","CXCL2"
"89","THBS1"
"90","DAXX"
"91","MCM4"
"92","CDKN1A"
"93","S100A7"
"94","PEBP1"
"95","HMGB1"
"96","CCNA1"
"97","CXCL14"
"98","IRF1"
"99","TECR"
"100","NDUFB4"
"101","TAPBP"
"102","RIPK2"
"103","EFNA1"
"104","ITGB6"
"105","HSPA6"
"106","IFNGR2"
"107","RBX1"
"108","CD9"
"109","CDC20"
"110","KRT6A"
"111","CD59"
"112","DDIT4"
"113","BST2"
"114","SF3B1"
"115","MAGEA6"
"116","PSMB5"
"117","COX5B"
"118","HLA.DMA"
"119","JAK1"
"120","LCN2"
"121","JUN"
"122","APP"
"123","UBC"
"124","CXADR"
"125","SHC1"
"126","LDHB"
"127","NDUFA2"
"128","IER3"
"129","TNFRSF25"
"130","SLC2A1"
"131","EPCAM"
"132","COX6A1"
"133","CRABP2"
"134","MCM7"
"135","PDGFA"
"136","GBP1"
"137","PMAIP1"
"138","SAA1"
"139","KRT19"
"140","ENO1"
"141","NDUFB11"
"142","TXN2"
"143","GPX1"
"144","PARP9"
"145","ANXA1"
"146","C1R"
"147","NDUFA6"
"148","ATF3"
"149","TAPBPL"
"150","IDH2"
"151","RHOA"
"152","SLC1A5"
"153","OAS3"
"154","CCL20"
"155","BAD"
"156","PRDX5"
"157","CD46"
"158","CDH1"
"159","CALML3"
"160","JUNB"
"161","STAT2"
"162","SERINC1"
"163","PSMD7"
"164","SNAI2"
"165","MMP9"
"166","CXCL3"
"167","SOD2"
"168","ID1"
"169","GNG12"
"170","LTBR"
"171","HDAC3"
"172","GOT2"
"173","NDUFB8"
"174","CASP1"
"175","TYMS"
"176","MCM5"
"177","CNOT2"
"178","STMN1"
"179","GADD45B"
"180","FH"
"181","LGALS3"
"182","OAS2"
"183","IGFBP3"
"184","IRF9"
"185","TYMP"
"186","SERINC3"
"187","THBD"
"188","ZC3H12A"
"189","HLA.A"
"190","STAT3"
"191","HSPA1A"
"192","SFN"
"193","U2AF1"
"194","S100A8"
"195","ISG15"
"196","PDPN"
"197","P4HA2"
"198","DUSP6"
"199","COL17A1"
"200","IFNGR1"
"201","COX4I1"
"202","KRT6B"
"203","CTSH"
"204","IL20RB"
"205","RAB7A"
"206","CEACAM6"
"207","NASP"
"208","GNAS"
"209","TPI1"
"210","PIN1"
"211","ITGB1"
"212","PSMC4"
"213","SGK1"
"214","NFKBIZ"
"215","CDK4"
"216","C1S"
"217","FCGRT"
"218","RPS6"
"219","PLAT"
"220","CD74"
"221","SRP54"
"222","NDUFA1"
"223","BRD2"
"224","IL32"
"225","LYZ"
"226","IFITM1"
"227","PLAUR"
"228","SLC16A1"
"229","OAT"
"230","NRP1"
"231","NDUFS8"
"232","PIM1"
"233","SERINC2"
"234","NDUFA4L2"
"235","BNIP3"
"236","PSMB2"
"237","ALDOA"
"238","ADA"
"239","CD24"
"240","INHBA"
"241","GLUL"
"242","ICAM1"
"243","LY6E"
"244","CFB"
"245","MIF"
"246","CD44"
"247","ITGA5"
"248","CCNB1"
"249","RPL7A"
"250","TUBB"
"251","IFI27"
"252","PHGDH"
"253","TNFAIP3"
"254","UQCR10"
"255","PSMB7"
"256","SOD1"
"257","CAPN2"
"258","NR4A1"
"259","MCM2"
"260","POLR2A"
"261","CXCL10"
"262","JUP"
"263","NFKBIA"
"264","ATOX1"
"265","RAC2"
"266","ITGB4"
"267","TAP1"
"268","ETS2"
"269","NUPR1"
"270","IFITM2"
"271","DUSP1"
"272","NDUFB10"
"273","KRT14"
"274","IFI6"
"275","UBE2C"
"276","IL1R2"
"277","CD63"
"278","HPRT1"
"279","HIF1A"
"280","ACTB"
"281","IFI35"
"282","HLA.B"
"283","OAZ1"
"284","FOSL1"
"285","S100A9"
"286","NPM1"
"287","LTBP1"
"288","KRT17"
"289","CTNNB1"
"290","ITGA6"
"291","CCND1"
"292","CDH3"
"293","PDZK1IP1"
"294","CALML5"
"295","EIF2B4"
"296","EIF4EBP1"
"297","KRT7"
"298","P4HA1"
"299","MX1"
"300","CD164"
"301","MAGEA4"
"302","IFIT3"
"303","PLAU"
"304","SERPINB5"
"305","NDUFA11"
"306","HLA.E"
"307","TWF1"
"308","JAG1"
"309","HLA.DPA1"
"310","PCNA"
"311","TPM1"
"312","ECSIT"
"313","ILF3"
"314","CCND3"
"315","TNC"
"316","DDIT3"
"317","POLR2H"
"318","RPL23"
"319","EWSR1"
"320","PKM"
"321","FLNA"
"322","NDUFS7"
"323","PSMB9"
