,x
1,CYB5A
2,ATP1B1
3,MAL2
4,MBIP
5,SFN
6,S100A14
7,LAD1
8,DSG2
9,RAB25
10,CXCL17
11,FASN
12,MGST1
13,F3
14,LAPTM4B
15,TMEM54
16,SDR16C5
17,MPZL2
18,TMEM87A
19,KCNK1
20,NECTIN4
21,MET
22,PRSS8
23,PIGR
24,TOM1L1
25,SLC6A14
26,MAP3K13
27,ATP1A1
28,LSR
29,JUP
30,SEZ6L2
31,PDZK1IP1
32,LCN2
33,H1-0
34,ASPH
35,WNT7B
36,ZDHHC9
37,AKAP1
38,DCBLD2
39,CAPN8
40,PRKCI
41,ITPR3
42,TMEM92
43,BZW2
44,NAPSA
45,VKORC1L1
46,LRATD2
47,SPINK5
48,SGPP2
49,MSMO1
50,MALL
51,ADGRF1
52,MUC1
53,EPS8
54,GPRC5C
55,PON3
56,TPD52L1
57,GOLT1A
58,MRPL14
59,AZGP1
60,SH3YL1
61,KRT15
62,PCBD1
63,TFCP2L1
64,PTPN13
65,C16orf89
66,PACSIN3
67,PROM2
68,SFTPB
69,CLDN7
70,MMP7
71,FUT3
72,RAD1
73,BTG3
74,NOL3
75,TFAP2C
76,TMEM97
77,RAP1GAP
78,SLC22A31
79,TLCD1
